OBJECTID,ROADPREMOD,ROADPREDIR,ROADNAME,ROADTYPE,ROADPOSTDIR,ROADPOSTMOD,FULLNAME,ALTROADNAME,MSAGNAME,MUNICIPALITY,STATUS,LASTUPDATE,LASTEDITOR,ROADPRETYPE,FULLNAMECASS,CapCASSStName,JoinID
872496,,,Alonzo,St,,,Alonzo Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alonzo St,ALONZO ST,84
872497,,,Alost,St,,,Alost Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alost St,ALOST ST,85
872498,,,Alsace,St,,,Alsace Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alsace St,ALSACE ST,86
872499,,,Althea,Ln,,,Althea Lane,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Althea Ln,ALTHEA LN,87
872500,,,Alumni,Dr,,,Alumni Drive,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alumni Dr,ALUMNI DR,88
872501,,,Alvar,St,,,Alvar Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alvar St,ALVAR ST,89
872502,,,Alvin Callender,St,,,Alvin Callender Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Alvin Callender St,ALVIN CALLENDER ST,90
872503,,,Amanda,St,,,Amanda Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Amanda St,AMANDA ST,91
872504,,,Amann,St,,,Amann Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Amann St,AMANN ST,92
872505,,,Amazon,St,,,Amazon Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Amazon St,AMAZON ST,93
872506,,,Amber,St,,,Amber Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Amber St,AMBER ST,94
872507,,,Amelia,St,,,Amelia Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Amelia St,AMELIA ST,95
872508,,,America,St,,,America Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,America St,AMERICA ST,96
872509,,,Americus,St,,,Americus Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Americus St,AMERICUS ST,97
872510,,,Amethyst,St,,,Amethyst Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Amethyst St,AMETHYST ST,98
872511,,,Andover,Dr,,,Andover Drive,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Andover Dr,ANDOVER DR,99
872512,,,Andrew Higgins,Dr,,,Andrew Higgins Drive,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Andrew Higgins Dr,ANDREW HIGGINS DR,100
872513,,,Andry,St,,,Andry Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Andry St,ANDRY ST,101
872514,,,Ani,St,,,Ani Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Ani St,ANI ST,102
872515,,,Annandale,Ct,,,Annandale Court,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Annandale Ct,ANNANDALE CT,103
872516,,,Anne Marie,Ct,,,Anne Marie Court,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Anne Marie Ct,ANNE MARIE CT,104
872517,,,Annette,St,,,Annette Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Annette St,ANNETTE ST,105
872518,,,Annunciation,St,,,Annunciation Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Annunciation St,ANNUNCIATION ST,106
872519,,,Anseman,Ave,,,Anseman Avenue,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Anseman Ave,ANSEMAN AVE,107
872520,,,Anson,St,,,Anson Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Anson St,ANSON ST,108
872521,,N,Anthony,St,,,North Anthony Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,N Anthony St,N ANTHONY ST,109
872522,,S,Anthony,St,,,South Anthony Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,S Anthony St,S ANTHONY ST,110
872523,,,Anthus,Ln,,,Anthus Lane,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Anthus Ln,ANTHUS LN,111
872524,,,Antonine,St,,,Antonine Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Antonine St,ANTONINE ST,112
872525,,,Apache,St,,,Apache Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Apache St,APACHE ST,113
872526,,,Apple,St,,,Apple Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Apple St,APPLE ST,114
872527,,,Apricot,St,,,Apricot Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Apricot St,APRICOT ST,115
872528,,,Ara,St,,,Ara Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Ara St,ARA ST,116
872529,,,Arabella,St,,,Arabella Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arabella St,ARABELLA ST,117
872530,,,Arbor,Cir,,,Arbor Circle,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arbor Cir,ARBOR CIR,118
872531,,,Arbor,Dr,,,Arbor Drive,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arbor Dr,ARBOR DR,119
872532,,,Filmore,Ave,,,Filmore Avenue,,,Orleans,Current,2015/02/23 13:50:24+00,CITYOFNO\cmard,,Fillmore Ave,FILLMORE AVE,723
872533,,,Arbor,Ln,,,Arbor Lane,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arbor Ln,ARBOR LN,120
872534,,,Arbor,Pl,,,Arbor Place,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arbor Pl,ARBOR PL,121
872535,,,Arcadia,Ln,,,Arcadia Lane,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arcadia Ln,ARCADIA LN,122
872536,,,Architect,St,,,Architect Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Architect St,ARCHITECT ST,123
872537,,,Argonne,Blvd,,,Argonne Boulevard,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Argonne Blvd,ARGONNE BLVD,124
872538,,,Arizona,St,,,Arizona Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arizona St,ARIZONA ST,125
872539,,,Arthur,Dr,,,Arthur Drive,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arthur Dr,ARTHUR DR,126
872540,,,Arts,St,,,Arts Street,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Arts St,ARTS ST,127
872541,,,Ashland,Dr,,,Ashland Drive,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Ashland Dr,ASHLAND DR,128
872542,,,Asphodel,Dr,,,Asphodel Drive,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Asphodel Dr,ASPHODEL DR,129
872543,,,Assumption,Pl,,,Assumption Place,,,Orleans,Current,2015/02/23 13:50:12+00,CITYOFNO\cmard,,Assumption Pl,ASSUMPTION PL,130
